,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
79,0,1,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
80,0,1,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
81,1,0,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
82,1,0,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
83,1,0,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
84,1,0,0,1,0,0,0,0,0,1,5.130434999999999,0.0205,0.857143,0.2,1.0
85,0,1,0,1,0,0,0,0,0,1,5.26087,0.033792,0.457143,0.304348,1.0
86,1,0,0,1,0,0,0,0,0,1,5.391304,0.029542000000000002,1.636364,0.25,1.0
87,0,1,0,1,0,0,1,0,0,0,5.434783,0.03,0.257143,0.216667,1.0
88,1,0,1,0,0,0,1,0,0,0,5.434783,0.031917,2.272727,0.2,1.0
89,0,1,1,0,0,0,0,0,0,1,5.434783,0.031917,2.272727,0.2,1.0
90,0,1,1,0,0,0,0,0,0,1,5.434783,0.038625,0.090909,0.291304,1.0
91,0,1,0,1,0,0,0,0,0,1,5.478261,0.021875,0.0,0.36956500000000003,1.0
92,1,0,1,0,0,0,0,0,0,1,5.478261,0.03825,0.342857,0.291304,1.0
93,1,0,1,0,0,0,0,0,0,1,5.478261,0.03825,0.342857,0.291304,1.0
94,1,0,1,0,0,0,0,0,0,1,5.478261,0.03825,0.342857,0.291304,1.0
95,0,1,0,0,1,0,0,0,0,1,5.478261,0.023167,0.214286,0.3,1.0
96,0,1,1,0,0,0,0,0,0,1,5.478261,0.027458,2.272727,0.225,1.0
97,0,1,1,0,0,0,0,0,0,1,5.521739,0.031833,0.136364,0.24782600000000002,1.0
98,0,1,0,1,0,0,0,0,0,1,5.521739,0.02375,0.090909,0.283333,1.0
99,1,0,0,1,0,0,0,1,0,0,5.565217,0.024791999999999998,0.227273,0.266667,1.0
100,1,0,0,1,0,0,0,0,0,1,5.695652,0.011625,0.7,0.091304,1.0
101,0,1,0,0,1,0,0,0,0,1,5.73913,0.033125,0.227273,0.2,1.0
102,1,0,0,0,1,0,0,0,0,1,5.73913,0.02325,0.956522,0.258333,1.0
103,1,0,0,0,1,0,0,0,0,1,5.782609,0.020666999999999998,0.181818,0.4,1.0
104,1,0,0,1,0,0,0,0,0,1,5.826087,0.028582999999999997,2.272727,0.352174,1.0
105,1,0,0,0,1,0,0,0,0,1,5.869565000000001,0.033583,2.1,0.334783,1.0
106,1,0,0,0,0,1,0,0,0,1,6.0,0.01925,1.0857139999999998,0.2375,1.0
107,0,1,1,0,0,0,0,0,0,1,6.086957,0.036542000000000005,4.171429,0.3,1.0
108,0,1,0,1,0,0,0,0,0,1,6.086957,0.027125,1.409091,0.17083299999999998,1.0
109,0,1,1,0,0,0,0,0,0,1,6.086957,0.036792,0.128571,0.395652,1.0
110,1,0,0,1,0,0,0,0,0,1,6.086957,0.019916999999999997,0.818182,0.347826,1.0
111,0,1,0,1,0,0,0,0,1,0,6.173913,0.021833,2.214286,0.21304299999999998,1.0
112,1,0,0,0,1,0,0,0,0,1,6.173913,0.020041999999999997,0.328571,0.225,1.0
113,0,1,0,0,1,0,0,0,0,1,6.173913,0.020041999999999997,0.328571,0.225,1.0
114,0,1,0,1,0,0,0,0,0,1,6.217391,0.029667000000000002,0.0,0.291304,1.0
115,0,1,0,1,0,0,0,1,0,0,6.217391,0.041792,4.409091,0.343478,1.0
116,1,0,0,0,1,0,1,0,0,0,6.26087,0.021917,1.5,0.265217,1.0
117,0,1,0,0,1,0,0,0,1,0,6.26087,0.021917,1.5,0.265217,1.0
118,1,0,0,0,1,0,0,0,0,1,6.26087,0.023083000000000003,2.028571,0.304167,1.0
119,1,0,0,0,1,0,1,0,0,0,6.304348,0.01975,0.782609,0.321739,1.0
120,1,0,1,0,0,0,0,0,0,1,6.304348,0.02875,1.136364,0.366667,1.0
121,1,0,1,0,0,0,0,0,0,1,6.304348,0.02875,1.136364,0.366667,1.0
122,1,0,0,1,0,0,0,0,0,1,6.478261,0.03625,4.727273,0.4,1.0
123,0,1,0,1,0,0,1,0,0,0,6.521739,0.020291999999999998,0.842857,0.470833,1.0
124,0,1,0,1,0,0,0,0,0,1,6.73913,0.01975,0.772727,0.25416700000000003,1.0
125,0,1,0,1,0,0,1,0,0,0,6.73913,0.015958,0.128571,0.408333,1.0
